#application(s)	wasl (app0)		Uncoordinated (app0)	wasl (app1)	Uncoordinated (app1)
xapian-moses	11.6819619		14.54396170000000	4.13350020	5.723414599999990
xapian-masstree	11.373326300000		11.866573700000000	0.8995972	3.9777859000000000
xapian-silo	11.00144			11.4844859		4.1551927	4.9860245
xapian-dnn	11.1692566		14.242011900000000	1.5941433	1.5904267000000000
moses-masstree	4.9634908		5.3692706000000000	1.0516772	5.094358800000000
moses-silo	4.933502399999990	5.711360900000000	4.9814253	9.555351699999990
moses-dnn	5.1696825		5.758137900000000	2.0064459	2.0262418000000000
masstree-silo	0.7125424		0.8825167000000000	3.9539264	4.053010400000000
masstree-dnn	1.41067			7.9063656		1.4743831	1.7650969
silo-dnn		4.9917166		10.194916000000000	1.8361938	2.1089251
GeoMean		5.03			7.16			2.209		3.402